ticker,fiscal_year,fiscal_quarter,end_date,stock_price
2501,2006,1,2006-03-31,3080.0000252953646
2501,2006,2,2006-06-30,2895.0000317069025
2501,2006,3,2006-09-29,2805.000030721196
2501,2006,4,2006-12-29,3274.0124463082593
2501,2007,1,2007-03-30,4145.000021922012
2501,2007,2,2007-06-29,3773.9056110515075
2501,2007,3,2007-09-28,3795.000019347592
2501,2007,4,2007-12-28,4501.27807251005
2501,2008,1,2008-03-31,4075.0000207809826
2501,2008,2,2008-06-30,3715.00001895054
2501,2008,3,2008-09-30,3865.000019715703
2501,2008,4,2008-12-30,2796.049299558057
2501,2009,1,2009-03-31,1865
2501,2009,2,2009-06-30,2770
2501,2009,3,2009-09-30,2290.0000116891974
2501,2009,4,2009-12-30,2545.403149902947
2501,2010,1,2010-03-31,2440
2501,2010,2,2010-06-30,1920.0000196063581
2501,2010,3,2010-09-30,1955.0000199661206
2501,2010,4,2010-12-30,1840.2791170209125
2501,2011,1,2011-03-31,1550
2501,2011,2,2011-06-30,1650.0000084273781
2501,2011,3,2011-09-30,1450.0000111089748
2501,2011,4,2011-12-30,1455.017791278965
2501,2012,1,2012-03-30,1530.0183920814636
2501,2012,2,2012-06-29,1280.0187541088844
2501,2012,3,2012-09-28,1090.006101984363
2501,2012,4,2012-12-28,1395.015711647651
2501,2013,1,2013-03-29,1980.9610082960696
2501,2013,2,2013-06-28,1820.0405851920982
2501,2013,3,2013-09-30,2130
2501,2013,4,2013-12-30,2210.6978355275487
2501,2014,1,2014-03-31,2030.0000208124764
2501,2014,2,2014-06-30,2040.0000052340586
2501,2014,3,2014-09-30,2110.0000054144148
2501,2014,4,2014-12-30,2560.5087896304694
2501,2015,1,2015-03-31,2380
2501,2015,2,2015-06-30,2275.0000116785827
2501,2015,3,2015-09-30,2330.000017942808
2501,2015,4,2015-12-30,2660.3494220893144
2501,2016,1,2016-03-31,2800.0000071884224
2501,2016,2,2016-06-30,2963
2501,2016,3,2016-09-30,2794
2501,2016,4,2016-12-30,3010.0351638281227
2501,2017,1,2017-03-31,3010
2501,2017,2,2017-06-30,3095
2501,2017,3,2017-09-29,3034.969725823759
2501,2017,4,2017-12-29,3450.0929685071374
2501,2018,1,2018-03-30,3100.034386231067
2501,2018,2,2018-06-29,2775.970063349631
2501,2018,3,2018-09-28,2361.0763255969664
2501,2018,4,2018-12-28,2293.1058968509856
2501,2019,1,2019-03-29,2417.01787478797
2501,2019,2,2019-06-28,2268.6361655447035
2501,2019,3,2019-09-30,2694
2501,2019,4,2019-12-30,2579.047179169452
2501,2020,1,2020-03-31,1993
2501,2020,2,2020-06-30,2021
2501,2020,3,2020-09-30,1887
2501,2020,4,2020-12-30,1991.0186071548753
2501,2021,1,2021-03-31,2293
2501,2021,2,2021-06-30,2312
2501,2021,3,2021-09-30,2575
2501,2021,4,2021-12-30,2183.0117420150623
2501,2022,1,2022-03-31,2307
2501,2022,2,2022-06-30,3010
2501,2022,3,2022-09-30,3180
2501,2022,4,2022-12-30,3280.007073900332
2502,2005,1,2005-03-31,1389
2502,2005,2,2005-06-30,1322
2502,2005,3,2005-09-30,1437
2502,2005,4,2005-12-30,1460.582518122775
2502,2006,1,2006-03-31,1670
2502,2006,2,2006-06-30,1607
2502,2006,3,2006-09-29,1722
2502,2006,4,2006-12-29,1935.5866862736557
2502,2007,1,2007-03-30,1890
2502,2007,2,2007-06-29,1904.9879760843717
2502,2007,3,2007-09-28,1750
2502,2007,4,2007-12-28,1890.8833894459135
2502,2008,1,2008-03-31,2055
2502,2008,2,2008-06-30,1982
2502,2008,3,2008-09-30,1840
2502,2008,4,2008-12-30,1539.1282754668669
2502,2009,1,2009-03-31,1176
2502,2009,2,2009-06-30,1387
2502,2009,3,2009-09-30,1642
2502,2009,4,2009-12-30,1711.5132564173568
2502,2010,1,2010-03-31,1753
2502,2010,2,2010-06-30,1507
2502,2010,3,2010-09-30,1670
2502,2010,4,2010-12-30,1572.4995673940857
2502,2011,1,2011-03-31,1383
2502,2011,2,2011-06-30,1615
2502,2011,3,2011-09-30,1649
2502,2011,4,2011-12-30,1689.539996814077
2502,2012,1,2012-03-30,1832.4222726252235
2502,2012,2,2012-06-29,1708.7262597912309
2502,2012,3,2012-09-28,1923.7505089267868
2502,2012,4,2012-12-28,1836.776575402178
2502,2013,1,2013-03-29,2313.8831120233826
2502,2013,2,2013-06-28,2460.1442555422805
2502,2013,3,2013-09-30,2579
2502,2013,4,2013-12-30,2905.4664164752594
2502,2014,1,2014-03-31,2889
2502,2014,2,2014-06-30,3180
2502,2014,3,2014-09-30,3173
2502,2014,4,2014-12-30,3746.3292781826617
2502,2015,1,2015-03-31,3813.5
2502,2015,2,2015-06-30,3892.5
2502,2015,3,2015-09-30,3870
2502,2015,4,2015-12-30,3798.920462432011
2502,2016,1,2016-03-31,3507
2502,2016,2,2016-06-30,3306
2502,2016,3,2016-09-30,3666
2502,2016,4,2016-12-30,3690.01637467852
2502,2017,1,2017-03-31,4208
2502,2017,2,2017-06-30,4228
2502,2017,3,2017-09-29,4556.015613401618
2502,2017,4,2017-12-29,5590.034812118035
2502,2018,1,2018-03-30,5667.499619302112
2502,2018,2,2018-06-29,5672.024615555549
2502,2018,3,2018-09-28,4925.008644106031
2502,2018,4,2018-12-28,4269.0115000647675
2502,2019,1,2019-03-29,4930.007630496516
2502,2019,2,2019-06-28,4845.0224334518925
2502,2019,3,2019-09-30,5350
2502,2019,4,2019-12-30,4983.021930241388
2502,2020,1,2020-03-31,3510
2502,2020,2,2020-06-30,3776
2502,2020,3,2020-09-30,3656
2502,2020,4,2020-12-30,4222.722837478824
2502,2021,1,2021-03-31,4665
2502,2021,2,2021-06-30,5191
2502,2021,3,2021-09-30,5421
2502,2021,4,2021-12-30,4474.014152858514
2502,2022,1,2022-03-31,4461
2502,2022,2,2022-06-30,4445
2502,2022,3,2022-09-30,4484
2502,2022,4,2022-12-30,4119.012421684851
2503,2005,1,2005-03-31,1045
2503,2005,2,2005-06-30,1074
2503,2005,3,2005-09-30,1250
2503,2005,4,2005-12-30,1375.4767033919575
2503,2006,1,2006-03-31,1602
2503,2006,2,2006-06-30,1799
2503,2006,3,2006-09-29,1577
2503,2006,4,2006-12-29,1872.3439631439646
2503,2007,1,2007-03-30,1702
2503,2007,2,2007-06-29,1843.738298025443
2503,2007,3,2007-09-28,1520
2503,2007,4,2007-12-28,1641.4138709661738
2503,2008,1,2008-03-31,1885
2503,2008,2,2008-06-30,1658
2503,2008,3,2008-09-30,1377
2503,2008,4,2008-12-30,1176.0925002066824
2503,2009,1,2009-03-31,1042
2503,2009,2,2009-06-30,1350
2503,2009,3,2009-09-30,1376
2503,2009,4,2009-12-30,1491.3357516428705
2503,2010,1,2010-03-31,1379
2503,2010,2,2010-06-30,1122
2503,2010,3,2010-09-30,1185
2503,2010,4,2010-12-30,1128.565883238603
2503,2011,1,2011-03-31,1093
2503,2011,2,2011-06-30,1119
2503,2011,3,2011-09-30,1017
2503,2011,4,2011-12-30,936.1073449796239
2503,2012,1,2012-03-30,1071.0235657540366
2503,2012,2,2012-06-29,935.9947239550071
2503,2012,3,2012-09-28,1044.0163585562218
2503,2012,4,2012-12-28,1012.2134803584228
2503,2013,1,2013-03-29,1512.7057048125503
2503,2013,2,2013-06-28,1578.6240804164015
2503,2013,3,2013-09-30,1429
2503,2013,4,2013-12-30,1513.1044792174762
2503,2014,1,2014-03-31,1430
2503,2014,2,2014-06-30,1463
2503,2014,3,2014-09-30,1456.5
2503,2014,4,2014-12-30,1498.2384978140617
2503,2015,1,2015-03-31,1577
2503,2015,2,2015-06-30,1686
2503,2015,3,2015-09-30,1565.499999999452
2503,2015,4,2015-12-30,1647.509303339727
2503,2016,1,2016-03-31,1578
2503,2016,2,2016-06-30,1723
2503,2016,3,2016-09-30,1671.499999999452
2503,2016,4,2016-12-30,1901.5099480578558
2503,2017,1,2017-03-31,2100.499999999452
2503,2017,2,2017-06-30,2289
2503,2017,3,2017-09-29,2648.015732271795
2503,2017,4,2017-12-29,2840.519017475187
2503,2018,1,2018-03-30,2832.510431743139
2503,2018,2,2018-06-29,3011.2391791870805
2503,2018,3,2018-09-28,2977.24666269962
2503,2018,4,2018-12-28,2298.507262012119
2503,2019,1,2019-03-29,2642.5071088943737
2503,2019,2,2019-06-28,2323.225532834495
2503,2019,3,2019-09-30,2288
2503,2019,4,2019-12-30,2415.7567029827123
2503,2020,1,2020-03-31,2137.5
2503,2020,2,2020-06-30,2274.5
2503,2020,3,2020-09-30,1973.4999999994004
2503,2020,4,2020-12-30,2435.141013805698
2503,2021,1,2021-03-31,2120.4999999994
2503,2021,2,2021-06-30,2166
2503,2021,3,2021-09-30,2075
2503,2021,4,2021-12-30,1847.0070548801266
2503,2022,1,2022-03-31,1829
2503,2022,2,2022-06-30,2137.499999999391
2503,2022,3,2022-09-30,2227
2503,2022,4,2022-12-30,2011.0060789765662
2531,2005,1,2005-06-30,691
2531,2005,2,2005-09-30,715
2531,2005,3,2005-12-30,700
2531,2005,4,2006-03-31,720
2531,2006,1,2006-06-30,669
2531,2006,2,2006-09-29,694.0874492424854
2531,2006,3,2006-12-29,767
2531,2006,4,2007-03-30,832.1183533791941
2531,2007,1,2007-06-29,822
2531,2007,2,2007-09-28,675.0941555783517
2531,2007,3,2007-12-28,673
2531,2007,4,2008-03-31,685
2531,2008,1,2008-06-30,666
2531,2008,2,2008-09-30,732
2531,2008,3,2008-12-30,533.0129697588113
