ticker,fiscal_year,fiscal_quarter,end_date,stock_price
8068,2008,3,2008-10-31,757
8068,2008,4,2009-01-30,735.0165461850872
8068,2009,1,2009-04-30,788
8068,2009,2,2009-07-31,810
8068,2009,3,2009-10-30,746.0052565961121
8068,2009,4,2010-01-29,767.0089245732738
8068,2010,1,2010-04-30,958
8068,2010,2,2010-07-30,923.0100728351414
8068,2010,3,2010-10-29,754.9431531260751
8068,2010,4,2011-01-31,935
8068,2011,1,2011-04-28,831.0049763689843
8068,2011,2,2011-07-29,768.0065537721918
8068,2011,3,2011-10-31,722
8068,2011,4,2012-01-31,881
8068,2012,1,2012-04-27,885.0079839210362
8068,2012,2,2013-01-31,831.9866312215415
8068,2012,3,2013-01-31,831.9907223442683
8068,2012,4,2013-01-31,832
8068,2013,1,2013-04-30,879
8068,2013,2,2013-07-31,790
8068,2013,3,2013-10-31,899
8068,2013,4,2014-01-31,1088
8068,2014,1,2014-04-30,1226
8068,2014,2,2014-07-31,1152
8068,2014,3,2014-10-31,1094
8068,2014,4,2015-01-30,1230.4260362771547
8068,2015,1,2015-04-30,1395
8068,2015,2,2015-07-31,1504
8068,2015,3,2015-10-30,1495.013653655222
8068,2015,4,2016-01-29,1185.0120731811714
8068,2016,1,2016-04-28,1326.902518959943
8068,2016,2,2016-07-29,1253
8068,2016,3,2016-10-31,1337
8068,2016,4,2017-01-31,1431
8068,2017,1,2017-04-28,1632.0113207741183
8068,2017,2,2017-07-31,1780
8068,2017,3,2017-10-31,2119
8068,2017,4,2018-01-31,1935
8068,2018,1,2018-04-27,1813.0032551767724
8068,2018,2,2018-07-31,1797
8068,2018,3,2018-10-31,1620
8068,2018,4,2019-01-31,1487
8068,2019,1,2019-04-26,1710.0111576698234
8068,2019,2,2019-07-31,1810
8068,2019,3,2019-10-31,1928
8068,2019,4,2020-01-31,1865
8068,2020,1,2020-04-30,2434
8068,2020,2,2020-07-31,2930
8068,2020,3,2020-10-30,2882.0461240842765
8068,2020,4,2021-01-29,4171.249616923886
8068,2021,1,2021-04-30,2702
8068,2021,2,2021-07-30,2360.2258986077636
8068,2021,3,2021-10-29,2264.242005529279
8068,2021,4,2022-01-31,2162
8068,2022,1,2022-04-28,2013.6838639453138
8068,2022,2,2022-07-29,2233.350068814372
8068,2022,3,2022-10-31,2295
8068,2022,4,2023-01-31,2318
8074,2005,1,2005-06-30,1770.0000579465163
8074,2005,2,2005-09-30,2570.0000555706843
8074,2005,3,2005-12-30,2900.0000627062195
8074,2005,4,2006-03-31,2700.000105098256
8074,2006,1,2006-06-30,2330.000090695902
8074,2006,2,2006-09-29,2040.570650021138
8074,2006,3,2006-12-29,2090.0000090418434
8074,2006,4,2007-03-30,2230.2527067488395
8074,2007,1,2007-06-29,2190.0000663287865
8074,2007,2,2007-09-28,1770.284222677727
8074,2007,3,2007-12-28,1450.0000062747672
8074,2007,4,2008-03-31,1350.0000423437239
8074,2008,1,2008-06-30,1530.0000205686658
8074,2008,2,2008-09-30,1130.0000257996535
8074,2008,3,2008-12-30,863.4311778715701
8074,2008,4,2009-03-31,950.0000044592396
8074,2009,1,2009-06-30,1120.0000052560188
8074,2009,2,2009-09-30,990.0000232259678
8074,2009,3,2009-12-30,750.0225052298705
8074,2009,4,2010-03-31,890.000032925638
8074,2010,1,2010-06-30,830.00000767373
8074,2010,2,2010-09-30,800.0000332598629
8074,2010,3,2010-12-30,810.0377521180359
8074,2010,4,2011-03-31,1050.0000194086094
8074,2011,1,2011-06-30,1260.0000465385413
8074,2011,2,2011-09-30,1130
8074,2011,3,2011-12-30,1129.4336192940978
8074,2011,4,2012-03-30,1438.6086199582876
8074,2012,1,2012-06-29,1426.8991704743353
8074,2012,2,2012-09-28,1358.6322116829454
8074,2012,3,2012-12-28,1538.889462131516
8074,2012,4,2013-03-29,1999.1234066099403
8074,2013,1,2013-06-28,1728.9076377819972
8074,2013,2,2013-09-30,1980.0000452804775
8074,2013,3,2013-12-30,2147.8640451861443
8074,2013,4,2014-03-31,2110.0000192637426
8074,2014,1,2014-06-30,2200.000030076867
8074,2014,2,2014-09-30,2127
8074,2014,3,2014-12-30,2372.1212565091596
8074,2014,4,2015-03-31,2513
8074,2015,1,2015-06-30,2930
8074,2015,2,2015-09-30,2455
8074,2015,3,2015-12-30,3005.0921678640425
8074,2015,4,2016-03-31,2645
8074,2016,1,2016-06-30,2099
8074,2016,2,2016-09-30,2309
8074,2016,3,2016-12-30,2918.0290776769766
8074,2016,4,2017-03-31,3085
8074,2017,1,2017-06-30,3410
8074,2017,2,2017-09-29,3968.9681008479292
8074,2017,3,2017-12-29,4095.0578836879895
8074,2017,4,2018-03-30,3510.044384219757
8074,2018,1,2018-06-29,3532.4080046831905
8074,2018,2,2018-09-28,4087.0731250404597
8074,2018,3,2018-12-28,3145.0294301305244
8074,2018,4,2019-03-29,3119.1683419884534
8074,2019,1,2019-06-28,3008.9202664524014
8074,2019,2,2019-09-30,3080
8074,2019,3,2019-12-30,3685.067405884245
8074,2019,4,2020-03-31,2858
8074,2020,1,2020-06-30,2899
8074,2020,2,2020-09-30,3270
8074,2020,3,2020-12-30,3317.7419169849227
8074,2020,4,2021-03-31,3120
8074,2021,1,2021-06-30,3010
8074,2021,2,2021-09-30,3030
8074,2021,3,2021-12-30,2979.0392131611334
8074,2021,4,2022-03-31,2896
8074,2022,1,2022-06-30,3355
8074,2022,2,2022-09-30,3505
8074,2022,3,2022-12-30,3680.780077874805
8074,2022,4,2023-03-31,3785
8075,2005,1,2005-06-30,2870.0002191217163
8075,2005,2,2005-09-30,3850.0004409530748
8075,2005,3,2005-12-30,3810.000436371744
8075,2005,4,2006-03-31,3860.0003486246487
8075,2006,1,2006-06-30,3070.000277274008
8075,2006,2,2006-09-29,3170.480279005181
8075,2006,3,2006-12-29,3410.000115510692
8075,2006,4,2007-03-30,3970.007306770192
8075,2007,1,2007-06-29,4130.000046633433
8075,2007,2,2007-09-28,4220.066758226217
8075,2007,3,2007-12-28,3580.000323390469
8075,2007,4,2008-03-31,2890.0002936972637
8075,2008,1,2008-06-30,3720.000168021965
8075,2008,2,2008-09-30,2320.000104789513
8075,2008,3,2008-12-30,1740.0140288085393
8075,2008,4,2009-03-31,1540
8075,2009,1,2009-06-30,1690.000114503028
8075,2009,2,2009-09-30,1570.0001241018285
8075,2009,3,2009-12-30,1550.0039731880665
8075,2009,4,2010-03-31,2160.0000243916843
8075,2010,1,2010-06-30,1760.0001391243702
8075,2010,2,2010-09-30,1790.0001414958083
8075,2010,3,2010-12-30,2020.0024407772182
8075,2010,4,2011-03-31,2130
8075,2011,1,2011-06-30,1930
8075,2011,2,2011-09-30,1970.000066740092
8075,2011,3,2011-12-30,1810.000061319577
8075,2011,4,2012-03-30,1950.0143797157416
8075,2012,1,2012-06-29,1830.0052491446509
8075,2012,2,2012-09-28,1450.0000818731955
8075,2012,3,2012-12-28,1690.000095424621
8075,2012,4,2013-03-29,1840.002597360066
8075,2013,1,2013-06-28,1880
8075,2013,2,2013-09-30,2110
8075,2013,3,2013-12-30,2380
8075,2013,4,2014-03-31,2110
8075,2014,1,2014-06-30,2430.0002195340344
8075,2014,2,2014-09-30,2720.0002457346795
8075,2014,3,2014-12-30,2730.018436321996
8075,2014,4,2015-03-31,2590.0000584978916
8075,2015,1,2015-06-30,2810.000190402387
8075,2015,2,2015-09-30,2260.000127612542
8075,2015,3,2015-12-30,2420.0015031184907
8075,2015,4,2016-03-31,2040.0001151903425
8075,2016,1,2016-06-30,1660.0000937333707
8075,2016,2,2016-09-30,1762
8075,2016,3,2016-12-30,2430.041987652723
8075,2016,4,2017-03-31,2396
8075,2017,1,2017-06-30,2583
8075,2017,2,2017-09-29,3949.5949638007223
8075,2017,3,2017-12-29,3280
8075,2017,4,2018-03-30,3755.0190825125696
8075,2018,1,2018-06-29,2920
8075,2018,2,2018-09-28,3180.0079006710826
8075,2018,3,2018-12-28,2429
8075,2018,4,2019-03-29,2582
8075,2019,1,2019-06-28,2280
8075,2019,2,2019-09-30,2366
8075,2019,3,2019-12-30,2819.0140076938646
8075,2019,4,2020-03-31,1885
8075,2020,1,2020-06-30,1980
8075,2020,2,2020-09-30,1788
8075,2020,3,2020-12-30,1842
8075,2020,4,2021-03-31,2251
8075,2021,1,2021-06-30,2424
8075,2021,2,2021-09-30,3490
8075,2021,3,2021-12-30,3470
8075,2021,4,2022-03-31,3560
8075,2022,1,2022-06-30,3875
8075,2022,2,2022-09-30,3690
8075,2022,3,2022-12-30,5140.062498181805
8075,2022,4,2023-03-31,5800
8078,2005,1,2005-06-30,1900.0000359357525
8078,2005,2,2005-09-30,2395.00001132506
8078,2005,3,2005-12-30,2420.126809577492
8078,2005,4,2006-03-31,2710.000051263404
8078,2006,1,2006-06-30,2220.0000104988444
8078,2006,2,2006-09-29,2145.1119059986577
8078,2006,3,2006-12-29,2515.639889046173
8078,2006,4,2007-03-30,2940.2140340063115
8078,2007,1,2007-06-29,3040.000014382251
8078,2007,2,2007-09-28,2910.3352842060267
8078,2007,3,2007-12-28,2330
8078,2007,4,2008-03-31,2110.0000299518974
8078,2008,1,2008-06-30,3280.000046562687
8078,2008,2,2008-09-30,1790.000008471125
8078,2008,3,2008-12-30,1413.3755202989416
8078,2008,4,2009-03-31,1245
